#EMPLOYEE_ID	FIRST_NAME	LAST_NAME	EMAIL	PHONE	HIRE_DATE	MANAGER_ID	JOB_TITLE
107	Summer	Payne	summer.payne@example.com	515.123.8181	06/07/2016 00:00:00	106	Public Accountant
106	Rose	Stephens	rose.stephens@example.com	515.123.8080	06/07/2016 00:00:00	2	Accounting Manager
101	Annabelle	Dunn	annabelle.dunn@example.com	515.123.4444	09/17/2016 00:00:00	2	Administration Assistant
1	Tommy	Bailey	tommy.bailey@example.com	515.123.4567	06/17/2016 00:00:00		President
3	Blake	Cooper	blake.cooper@example.com	515.123.4569	01/13/2016 00:00:00	1	Administration Vice President
2	Jude	Rivera	jude.rivera@example.com	515.123.4568	09/21/2016 00:00:00	1	Administration Vice President
9	Mohammad	Peterson	mohammad.peterson@example.com	515.124.4569	08/17/2016 00:00:00	2	Finance Manager
104	Harper	Spencer	harper.spencer@example.com	515.123.7777	06/07/2016 00:00:00	2	Human Resources Representative
102	Emma	Perkins	emma.perkins@example.com	515.123.5555	02/17/2016 00:00:00	1	Marketing Manager
103	Amelie	Hudson	amelie.hudson@example.com	603.123.6666	08/17/2016 00:00:00	102	Marketing Representative
105	Gracie	Gardner	gracie.gardner@example.com	515.123.8888	06/07/2016 00:00:00	2	Public Relations Representative
17	Frederick	Price	frederick.price@example.com	515.127.4563	12/24/2016 00:00:00	15	Purchasing Clerk
16	Alex	Sanders	alex.sanders@example.com	515.127.4562	05/18/2016 00:00:00	15	Purchasing Clerk
18	Ollie	Bennett	ollie.bennett@example.com	515.127.4564	07/24/2016 00:00:00	15	Purchasing Clerk
19	Louis	Wood	louis.wood@example.com	515.127.4565	11/15/2016 00:00:00	15	Purchasing Clerk
20	Dexter	Barnes	dexter.barnes@example.com	515.127.4566	08/10/2016 00:00:00	15	Purchasing Clerk
15	Rory	Kelly	rory.kelly@example.com	515.127.4561	12/07/2016 00:00:00	1	Purchasing Manager
33	Reggie	Simmons	reggie.simmons@example.com	650.124.8234	04/10/2016 00:00:00	22	Stock Clerk
44	Emily	Hamilton	emily.hamilton@example.com	650.121.2874	03/15/2016 00:00:00	25	Stock Clerk
43	Olivia	Ford	olivia.ford@example.com	650.121.2994	01/29/2016 00:00:00	25	Stock Clerk
42	Amelia	Myers	amelia.myers@example.com	650.121.8009	10/17/2016 00:00:00	25	Stock Clerk
41	Connor	Hayes	connor.hayes@example.com	650.121.1834	04/06/2016 00:00:00	24	Stock Clerk
26	Leon	Powell	leon.powell@example.com	650.124.1214	07/16/2016 00:00:00	21	Stock Clerk
27	Kai	Long	kai.long@example.com	650.124.1224	09/28/2016 00:00:00	21	Stock Clerk
28	Aaron	Patterson	aaron.patterson@example.com	650.124.1334	01/14/2016 00:00:00	21	Stock Clerk
29	Roman	Hughes	roman.hughes@example.com	650.124.1434	03/08/2016 00:00:00	21	Stock Clerk
30	Austin	Flores	austin.flores@example.com	650.124.5234	08/20/2016 00:00:00	22	Stock Clerk
31	Ellis	Washington	ellis.washington@example.com	650.124.6234	10/30/2016 00:00:00	22	Stock Clerk
32	Jamie	Butler	jamie.butler@example.com	650.124.7234	02/16/2016 00:00:00	22	Stock Clerk
45	Isla	Graham	isla.graham@example.com	650.121.2004	07/09/2016 00:00:00	25	Stock Clerk
34	Seth	Foster	seth.foster@example.com	650.127.1934	06/14/2016 00:00:00	23	Stock Clerk
35	Carter	Gonzales	carter.gonzales@example.com	650.127.1834	08/26/2016 00:00:00	23	Stock Clerk
36	Felix	Bryant	felix.bryant@example.com	650.127.1734	12/12/2016 00:00:00	23	Stock Clerk
37	Ibrahim	Alexander	ibrahim.alexander@example.com	650.127.1634	02/06/2016 00:00:00	23	Stock Clerk
38	Sonny	Russell	sonny.russell@example.com	650.121.1234	07/14/2016 00:00:00	24	Stock Clerk
39	Kian	Griffin	kian.griffin@example.com	650.121.2034	10/26/2016 00:00:00	24	Stock Clerk
40	Caleb	Diaz	caleb.diaz@example.com	650.121.2019	02/12/2016 00:00:00	24	Stock Clerk
25	Ronnie	Perry	ronnie.perry@example.com	650.123.5234	11/16/2016 00:00:00	1	Stock Manager
24	Callum	Jenkins	callum.jenkins@example.com	650.123.4234	10/10/2016 00:00:00	1	Stock Manager
23	Jackson	Coleman	jackson.coleman@example.com	650.123.3234	05/01/2016 00:00:00	1	Stock Manager
22	Liam	Henderson	liam.henderson@example.com	650.123.2234	04/10/2016 00:00:00	1	Stock Manager
21	Jaxon	Ross	jaxon.ross@example.com	650.123.1234	07/18/2016 00:00:00	1	Stock Manager
